"","Date","Exchange.Rate","WTI.Cushing","Brent.Sullom.Voe.UK","Mixed.Sweet.Blend.Edmonton","Synthetic.Edmonton","Western.Canada.Select.Hardisty","Implied.Bitumen.Hardisty","Cdn.Light.Sweet.Edmonton","Cdn.Light.Sweet.Chicago","WTI.Chicago","Western.Canada.Select.Chicago","Brent.Montreal"
"1","2018-10-01","1.3058","618","707","416","462","294","186",NA,NA,NA,NA,NA
"2","2018-10-02","1.3141","622","703","426","459","285","170",NA,NA,NA,NA,NA
"3","2018-10-03","1.3156","632","697","435","459","287","162",NA,NA,NA,NA,NA
"4","2018-10-04","1.3061","611","688","413","438","255","133",NA,NA,NA,NA,NA
"5","2018-10-05","1.3047","610","698","405","430","241","112",NA,NA,NA,NA,NA
"6","2018-10-06","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"7","2018-10-07","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"8","2018-10-08","1.3037","609","679","412","429","244","117",NA,NA,NA,NA,NA
"9","2018-10-10","1.2997","613","658","390","423","229","92",NA,NA,NA,NA,NA
"10","2018-10-10","1.3082","602","665","378","415","215","78",NA,NA,NA,NA,NA
"11","2018-10-11","1.3026","581","664","313","332","172","24",NA,NA,NA,NA,NA
"12","2018-10-12","1.2967","582","666","349","358","186","42",NA,NA,NA,NA,NA
"13","2018-10-13","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"14","2018-10-14","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"15","2018-10-15","1.2932","584","654","366","381","210","80",NA,NA,NA,NA,NA
"16","2018-10-16","1.2907","584","644","355","377","202","69",NA,NA,NA,NA,NA
"17","2018-10-17","1.2983","570","654","341","345","182","46",NA,NA,NA,NA,NA
"18","2018-10-18","1.3040","563","652","342","359","201","76",NA,NA,NA,NA,NA
"19","2018-10-19","1.3095","569","623","359","365","216","96",NA,NA,NA,NA,NA
"20","2018-10-20","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"21","2018-10-21","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"22","2018-10-22","1.3189","574","626","350","376","215","94",NA,NA,NA,NA,NA
"23","2018-10-23","1.3178","550","631","294","327","169","41",NA,NA,NA,NA,NA
"24","2018-10-24","1.3142","552","639","313","329","174","53",NA,NA,NA,NA,NA
"25","2018-10-25","1.3161","557","632","309","326","201","95",NA,NA,NA,NA,NA
"26","2018-10-26","1.3164","560","627","311","332","202","94",NA,NA,NA,NA,NA
"27","2018-10-27","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"28","2018-10-28","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"29","2018-10-29","1.3067","551","607","304","321","206","104",NA,NA,NA,NA,NA
"30","2018-10-30","1.2998","541","589","271","292","210","117",NA,NA,NA,NA,NA
"31","2018-10-31","1.2998","534","590","251","285","182","82",NA,NA,NA,NA,NA
"32","2018-09-01","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"33","2018-09-02","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"34","2018-09-03","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"35","2018-09-04","1.3182","579","643","496","549","372","292",NA,NA,NA,NA,NA
"36","2018-09-05","1.3185","570","635","479","528","373","297",NA,NA,NA,NA,NA
"37","2018-09-06","1.3188","562","633","429","494","338","262",NA,NA,NA,NA,NA
"38","2018-09-07","1.3164","561","635","428","493","337","261",NA,NA,NA,NA,NA
"39","2018-09-08","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"40","2018-09-09","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"41","2018-09-10","1.3163","559","638","427","476","327","248",NA,NA,NA,NA,NA
"42","2018-09-11","1.3141","572","654","415","469","316","247",NA,NA,NA,NA,NA
"43","2018-09-12","1.3014","576","653","421","470","302","219",NA,NA,NA,NA,NA
"44","2018-09-13","1.2997","561","641","411","467","279","200",NA,NA,NA,NA,NA
"45","2018-09-14","1.3033","566","641","410","463","270","184",NA,NA,NA,NA,NA
"46","2018-09-15","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"47","2018-09-16","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
